"condition","plot_id","thermal.time","DAS","phenotype_value"
"Optimum",2080,1101,78,54.2089322
"Optimum",2079,1101,78,40.67304088
"Optimum",2078,1101,78,46.33083073
"Optimum",2077,1101,78,40.19158102
"Optimum",2076,1101,78,42.94569889
"Optimum",2075,1101,78,43.33693045
"Optimum",2074,1101,78,41.27537393
"Optimum",2073,1101,78,42.91758818
"Optimum",2072,1101,78,41.71932393
"Optimum",2071,1101,78,50.79356264
"Optimum",7050,1101,78,44.54315065
"Optimum",7049,1101,78,47.31512361
"Optimum",7048,1101,78,46.64490783
"Optimum",7047,1101,78,47.78869082
"Optimum",7046,1101,78,52.76450279
"Optimum",7045,1101,78,51.04628358
"Optimum",7044,1101,78,49.97160196
"Optimum",7043,1101,78,44.60260761
"Optimum",7042,1101,78,45.04900153
"Optimum",7041,1101,78,49.1266452
"Optimum",10080,1101,78,49.62718439
"Optimum",10079,1101,78,47.21783425
"Optimum",10078,1101,78,48.00308469
"Optimum",10077,1101,78,43.90247526
"Optimum",10076,1101,78,52.11494962
"Optimum",10075,1101,78,50.52610062
"Optimum",10074,1101,78,50.74658505
"Optimum",10073,1101,78,46.08816359
"Optimum",10071,1101,78,49.87977391
"Optimum",2061,1101,78,45.20912338
"Optimum",2062,1101,78,47.60759506
"Optimum",2063,1101,78,45.48908573
"Optimum",2064,1101,78,43.83782084
"Optimum",2065,1101,78,49.01507133
"Optimum",2066,1101,78,44.30236271
"Optimum",2067,1101,78,49.26185038
"Optimum",2068,1101,78,52.03563909
"Optimum",2069,1101,78,45.56176204
"Optimum",2070,1101,78,42.00212395
"Optimum",7051,1101,78,46.94044799
"Optimum",7052,1101,78,46.26394699
"Optimum",7053,1101,78,48.51100169
"Optimum",7054,1101,78,39.60770332
"Optimum",7055,1101,78,45.96302083
"Optimum",7056,1101,78,46.3650754
"Optimum",7057,1101,78,45.88602871
"Optimum",7058,1101,78,43.94890327
"Optimum",7059,1101,78,46.88416014
"Optimum",7060,1101,78,47.88259256
"Optimum",10061,1101,78,44.30385619
"Optimum",10062,1101,78,51.89575931
"Optimum",10063,1101,78,44.8610041
"Optimum",10064,1101,78,47.23279045
"Optimum",10065,1101,78,41.72542987
"Optimum",10066,1101,78,49.82709093
"Optimum",10067,1101,78,47.3150746
"Optimum",10068,1101,78,45.29721914
"Optimum",10069,1101,78,39.04800156
"Optimum",10070,1101,78,38.9047526
"Optimum",2060,1101,78,52.21819944
"Optimum",2059,1101,78,49.31161748
"Optimum",2058,1101,78,52.76595025
"Optimum",2057,1101,78,46.14133486
"Optimum",2056,1101,78,44.94917175
"Optimum",2055,1101,78,45.96702066
"Optimum",2054,1101,78,49.00196576
"Optimum",2053,1101,78,49.1949211
"Optimum",2052,1101,78,43.20135245
"Optimum",2051,1101,78,58.00460725
"Optimum",7070,1101,78,52.03121686
"Optimum",7069,1101,78,44.51824073
"Optimum",7068,1101,78,54.29508388
"Optimum",7067,1101,78,49.47125485
"Optimum",7066,1101,78,50.84174282
"Optimum",7065,1101,78,55.76939508
"Optimum",7064,1101,78,54.90690417
"Optimum",7063,1101,78,44.96669146
"Optimum",7062,1101,78,49.56055293
"Optimum",7061,1101,78,45.42652017
"Optimum",10060,1101,78,50.21578038
"Optimum",10059,1101,78,51.04856099
"Optimum",10058,1101,78,46.45941368
"Optimum",10057,1101,78,42.86313099
"Optimum",10056,1101,78,49.58072067
"Optimum",10055,1101,78,52.53746506
"Optimum",10054,1101,78,45.74255084
"Optimum",10053,1101,78,45.40596317
"Optimum",10052,1101,78,51.29601385
"Optimum",10051,1101,78,53.09551716
"Optimum",2041,1101,78,44.06419134
"Optimum",2042,1101,78,45.96177446
"Optimum",2043,1101,78,46.44253797
"Optimum",2044,1101,78,47.97103464
"Optimum",2045,1101,78,45.37994565
"Optimum",2046,1101,78,44.28695632
"Optimum",2047,1101,78,46.72285324
"Optimum",2048,1101,78,48.42756282
"Optimum",2049,1101,78,49.69325531
"Optimum",7072,1101,78,46.18432317
"Optimum",7073,1101,78,45.05863715
"Optimum",7074,1101,78,44.63787436
"Optimum",7075,1101,78,46.49013699
"Optimum",7076,1101,78,46.20872945
"Optimum",7077,1101,78,44.93696352
"Optimum",7078,1101,78,42.08555031
"Optimum",7079,1101,78,47.52536261
"Optimum",7080,1101,78,43.35216388
"Optimum",10041,1101,78,45.27453331
"Optimum",10042,1101,78,50.76892383
"Optimum",10043,1101,78,46.6765689
"Optimum",10044,1101,78,45.18648607
"Optimum",10045,1101,78,46.03069605
